61198181###22-Р03-400/1154-ДС1###21.04.2023###31.08.2023###400243110###Учреждение "Гомельское областное управление Министерства по чрезвычайным ситуациям Республики Беларусь"###1###246023, Республика Беларусь, Гомельская обл., г.Гомель, пр-т Речицкий, 35А/14###133###27,2###32,64###20###5,44###
61264573###23-01-РУЦ/34639###29.04.2023###15.08.2023###100619144###Министерство юстиции Республики Беларусь###1###220004, РБ, г. Минск, ул.Коллекторная, д.10###013###69###82,8###20###13,8###PC_IIC
61681724###23-Р07-800/3589###02.06.2023###15.08.2023###102300781###Департамент финансов и тыла Министерства внутренних дел Республики Беларусь###1###220004, Республика Беларусь, г.Минск, ул.Короля, д.71###012###142###170,4###20###28,4###
61681775###23-Р07-800/3590###02.06.2023###17.08.2023###102300781###Департамент финансов и тыла Министерства внутренних дел Республики Беларусь###1###220004, Республика Беларусь, г.Минск, ул.Короля, д.71###012###142###170,4###20###28,4###
61687978###23-01-РУЦ/41844###02.06.2023###04.08.2023###190503823###Учреждение здравоохранения "8-я городская детская клиническая поликлиника"###1###220051, РБ, г. Минск, ул.Есенина, д.66###012###142###170,4###20###28,4###PC_IIC
61697392###23-04-РУЦ/10860###02.06.2023###09.08.2023###200274084###Брестское областное управление Фонда социальной защиты населения Министерства труда и социальной защиты Республики Беларусь###1###224016, РБ, г. Брест, ул.Куйбышева, д.11/1###124###79,2###95,04###20###15,84###PC_IIC
61777496###23-Р07-800/3722###08.06.2023###03.08.2023###600046178###Учреждение здравоохранения "Смолевичская центральная районная больница"###1###222201, Республика Беларусь, Минская обл., Смолевичский р-н, г. Смолевичи, ул.Первомайская, д.101###615###51,95###62,34###20###10,39###
61817227###23-03-РУЦ/5559###12.06.2023###14.08.2023###500044138###Управление внутренних дел Гродненского областного исполнительного комитета###1###230023, РБ, г. Гродно, ул.Академическая, д.3###011###102,8###123,36###20###20,56###PC_IIC
61823523###23-01-РУЦ/44075###12.06.2023###01.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
61825774###23-Р03-800/1366###12.06.2023###10.08.2023###400049730###Житковичский районный исполнительный комитет###1###247953, Республика Беларусь, Гомельская обл., г.Житковичи, ул. Энгельса, 4###012###142###170,4###20###28,4###
61845592###23-01-РУЦ/44438###13.06.2023###03.08.2023###690023783###Учреждение здравоохранения "Минский областной кожно-венерологический диспансер"###1###220013, РБ, г. Минск, ул.Петруся Бровки, д.7, ком.1-52###013###69###82,8###20###13,8###PC_IIC
61845931###23-01-РУЦ/44446###13.06.2023###08.08.2023###690023783###Учреждение здравоохранения "Минский областной кожно-венерологический диспансер"###1###220013, РБ, г. Минск, ул.Петруся Бровки, д.7, ком.1-52###013###69###82,8###20###13,8###PC_IIC
61846098###23-05-РУЦ/6792###13.06.2023###14.08.2023###102295304###Государственная инспекция охраны животного и растительного мира при Президенте Республики Беларусь###1###220073, РБ, г. Минск, ул.Харьковская, д.17###011###102,8###123,36###20###20,56###PC_IIC
61850685###23-Р07-800/3835###14.06.2023###10.08.2023###102120848###Командование Военно-воздушных сил и войск противовоздушной обороны###1###220113, Республика Беларусь, г.Минск, ул.Белинского, 11###124###79,2###95,04###20###15,84###
61901903###23-01-РУЦ/45267###16.06.2023###01.08.2023###600039162###Учреждение здравоохранения "ЖОДИНСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА"###1###222167, РБ, Минская обл., г. Жодино, пр-т Венисье, д.1###013###69###82,8###20###13,8###PC_IIC
61902175###23-01-РУЦ/45272###16.06.2023###04.08.2023###600039162###Учреждение здравоохранения "ЖОДИНСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА"###1###222167, РБ, Минская обл., г. Жодино, пр-т Венисье, д.1###013###69###82,8###20###13,8###PC_IIC
61902269###23-01-РУЦ/45273###16.06.2023###10.08.2023###600039162###Учреждение здравоохранения "ЖОДИНСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА"###1###222167, РБ, Минская обл., г. Жодино, пр-т Венисье, д.1###013###69###82,8###20###13,8###PC_IIC
61902464###23-01-РУЦ/45277###16.06.2023###15.08.2023###600039162###Учреждение здравоохранения "ЖОДИНСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА"###1###222167, РБ, Минская обл., г. Жодино, пр-т Венисье, д.1###013###69###82,8###20###13,8###PC_IIC
61908184###23-01-РУЦ/45360###16.06.2023###04.08.2023###600039162###Учреждение здравоохранения "ЖОДИНСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА"###1###222167, РБ, Минская обл., г. Жодино, пр-т Венисье, д.1###011###102,8###123,36###20###20,56###PC_IIC
61908216###23-01-РУЦ/45361###16.06.2023###07.08.2023###600039162###Учреждение здравоохранения "ЖОДИНСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА"###1###222167, РБ, Минская обл., г. Жодино, пр-т Венисье, д.1###011###102,8###123,36###20###20,56###PC_IIC
61908236###23-01-РУЦ/45362###16.06.2023###04.08.2023###600039162###Учреждение здравоохранения "ЖОДИНСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА"###1###222167, РБ, Минская обл., г. Жодино, пр-т Венисье, д.1###011###102,8###123,36###20###20,56###PC_IIC
61908294###23-01-РУЦ/45363###16.06.2023###10.08.2023###600039162###Учреждение здравоохранения "ЖОДИНСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА"###1###222167, РБ, Минская обл., г. Жодино, пр-т Венисье, д.1###011###102,8###123,36###20###20,56###PC_IIC
61908345###23-01-РУЦ/45364###16.06.2023###07.08.2023###600039162###Учреждение здравоохранения "ЖОДИНСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА"###1###222167, РБ, Минская обл., г. Жодино, пр-т Венисье, д.1###011###102,8###123,36###20###20,56###PC_IIC
61908350###23-01-РУЦ/45365###16.06.2023###04.08.2023###600039162###Учреждение здравоохранения "ЖОДИНСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА"###1###222167, РБ, Минская обл., г. Жодино, пр-т Венисье, д.1###011###102,8###123,36###20###20,56###PC_IIC
61908383###23-01-РУЦ/45366###16.06.2023###04.08.2023###600039162###Учреждение здравоохранения "ЖОДИНСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА"###1###222167, РБ, Минская обл., г. Жодино, пр-т Венисье, д.1###011###102,8###123,36###20###20,56###PC_IIC
61917003###23-Р06-800/1006###16.06.2023###02.08.2023###700088095###Кричевский районный исполнительный комитет###1###213495, Республика Беларусь, Могилевская обл., г.Кричев, ул. Советская, 51###011###102,8###123,36###20###20,56###
61918826###23-01-РУЦ/45553###19.06.2023###01.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
61919191###23-01-РУЦ/45563###19.06.2023###02.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
61919728###23-01-РУЦ/45578###19.06.2023###01.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
61922845###23-01-РУЦ/45636###19.06.2023###29.08.2023###100614142###Минское городское управление Фонда социальной защиты населения Министерства труда и социальной защиты Республики Беларусь###1###220012, РБ, г. Минск, ул.Кедышко, д.16а###016###84,25###101,1###20###16,85###PC_IIC
61958890###23-01-РУЦ/46195###20.06.2023###03.08.2023###190431555###Государственное учреждение "Главная государственная инспекция по семеноводству, карантину и защите растений"###1###220034, РБ, г. Минск, ул.Краснозвёздная, д.8###012###142###170,4###20###28,4###PC_IIC
61965678###23-01-РУЦ/46342###21.06.2023###01.08.2023###190318152###Учреждение здравоохранения "4-я городская клиническая стоматологическая поликлиника"###1###220021, РБ, г. Минск, пр-т Партизанский, 112а###013###69###82,8###20###13,8###PC_IIC
61976122###23-01-РУЦ/46521###21.06.2023###02.08.2023###190492075###Учреждение здравоохранения "2-я центральная районная поликлиника Фрунзенского района г.Минска"###1###220018, РБ, г. Минск, ул.Якубовского, д.33###013###69###82,8###20###13,8###PC_IIC
61976230###23-01-РУЦ/46524###21.06.2023###02.08.2023###190492075###Учреждение здравоохранения "2-я центральная районная поликлиника Фрунзенского района г.Минска"###1###220018, РБ, г. Минск, ул.Якубовского, д.33###013###69###82,8###20###13,8###PC_IIC
61990788###21-01-РУЦ/75030-ДС1###22.06.2023###03.08.2023###690349753###Государственное учреждение образования "Детский сад № 1 г. Молодечно"###1###222310, РБ, Минская обл., г. Молодечно, ул.Франциска Скорины, д.15###142###81,7###98,04###20###16,34###PC_IIC
62007720###23-01-РУЦ/47041###23.06.2023###14.08.2023###600135902###Учреждение здравоохранения "Борисовская центральная районная больница"###1###222120, РБ, Минская обл., г. Борисов, ул.1812 года, д.9###121###64,05###76,86###20###12,81###PC_IIC
62007846###23-01-РУЦ/47045###23.06.2023###14.08.2023###600135902###Учреждение здравоохранения "Борисовская центральная районная больница"###1###222120, РБ, Минская обл., г. Борисов, ул.1812 года, д.9###11101###20,6###24,72###20###4,12###PC_IIC
62016972###23-02-РУЦ/7344###23.06.2023###04.08.2023###700189878###Военный комиссариат Могилёвской области###1###212030, РБ, г. Могилев, ул.Добролюбова, д.1###013###69###82,8###20###13,8###PC_IIC
62029999###23-Р04-800/903###26.06.2023###31.08.2023###500034256###Управление социальной защиты администрации Октябрьского района г.Гродно###1###230011, Республика Беларусь, г.Гродно, ул.Титова, д.9###066###63,45###76,14###20###12,69###
62038638###23-06-РУЦ/7123###26.06.2023###17.08.2023###400084034###Учреждение здравоохранения "Мозырская центральная городская поликлиника"###1###247760, РБ, Гомельская обл., г. Мозырь, ул.Котловца, д.14А###011###102,8###123,36###20###20,56###PC_IIC
62039145###22-06-РУЦ/4095-ДС1###26.06.2023###29.08.2023###400084034###Учреждение здравоохранения "Мозырская центральная городская поликлиника"###1###247760, РБ, Гомельская обл., г. Мозырь, ул.Котловца, д.14А###133###27,2###32,64###20###5,44###PC_IIC
62040753###22-06-РУЦ/11782-ДС1###26.06.2023###17.08.2023###400084034###Учреждение здравоохранения "Мозырская центральная городская поликлиника"###1###247760, РБ, Гомельская обл., г. Мозырь, ул.Котловца, д.14А###133###27,2###32,64###20###5,44###PC_IIC
62042727###22-06-РУЦ/11210-ДС1###26.06.2023###31.08.2023###400084034###Учреждение здравоохранения "Мозырская центральная городская поликлиника"###1###247760, РБ, Гомельская обл., г. Мозырь, ул.Котловца, д.14А###133###27,2###32,64###20###5,44###PC_IIC
62049999###23-01-РУЦ/47703###27.06.2023###02.08.2023###102369685###Центральный аппарат Следственного комитета Республики Беларусь###1###220034, РБ, г. Минск, ул.Фрунзе, д.19###013###69###82,8###20###13,8###PC_IIC
62083808###23-01-РУЦ/48216###28.06.2023###03.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
62088789###23-01-РУЦ/48259###28.06.2023###21.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
62089127###23-01-РУЦ/48266###28.06.2023###03.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
62089361###23-01-РУЦ/48270###28.06.2023###03.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
62089669###23-01-РУЦ/48279###28.06.2023###18.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
62091103###23-01-РУЦ/48307###28.06.2023###18.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
62091264###23-01-РУЦ/48312###28.06.2023###11.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
62091399###23-01-РУЦ/48316###28.06.2023###18.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
62091870###23-01-РУЦ/48324###28.06.2023###18.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
62092044###23-01-РУЦ/48327###28.06.2023###01.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
62093860###23-01-РУЦ/48360###28.06.2023###07.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
62094018###23-01-РУЦ/48363###28.06.2023###18.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
62094161###23-01-РУЦ/48366###28.06.2023###24.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
62094349###23-01-РУЦ/48371###28.06.2023###02.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
62094533###23-01-РУЦ/48375###28.06.2023###01.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
62095980###23-01-РУЦ/48419###29.06.2023###15.08.2023###600016009###Любанский районный исполнительный комитет###1###223812, РБ, Минская обл., г. Любань, ул.Первомайская, д.24а###121###64,05###76,86###20###12,81###PC_IIC
62096881###23-Р04-800/919###29.06.2023###07.08.2023###591026492###Государственное учреждение здравоохранения "Городская поликлиника №7 г.Гродно"###1###230026, Республика Беларусь, г.Гродно, ул.Химиков, 5###061###90,75###108,9###20###18,15###
62097313###23-Р04-800/920###29.06.2023###23.08.2023###591026492###Государственное учреждение здравоохранения "Городская поликлиника №7 г.Гродно"###1###230026, Республика Беларусь, г.Гродно, ул.Химиков, 5###061###90,75###108,9###20###18,15###
62101509###23-05-РУЦ/7523###29.06.2023###18.08.2023###391211086###Государственное учреждение образования "Ушачская детская школа искусств имени Демьяна Владимировича Крупени"###1###211524, РБ, Витебская обл., гп Ушачи, ул.Ленинская, д.13###011###102,8###123,36###20###20,56###PC_IIC
62102436###23-P01-100/1901###29.06.2023###02.08.2023###290476905###Государственное учебно-спортивное учреждение "Детско-юношеская спортивная школа конного спорта и современного пятиборья»###1###224030, Республика Беларусь, г.Брест, ул.Дзержинского, д.46###014###118,1###141,72###20###23,62###
62116319###23-01-РУЦ/48751###29.06.2023###03.08.2023###600052478###Государственное учреждение "Республиканский научно-практический центр пульмонологии и фтизиатрии"###1###220053, РБ, г. Минск, тр-т Долгиновский, д.157###011###102,8###123,36###20###20,56###PC_IIC
62123577###23-01-РУЦ/48879###30.06.2023###09.08.2023###100646498###Минский городской суд###1###220092, РБ, г. Минск, ул.Дунина-Марцинкевича, д.1, корп.1###121###64,05###76,86###20###12,81###PC_IIC
62133205###23-01-РУЦ/49049###30.06.2023###07.08.2023###191121993###Учреждение здравоохранения "10-я городская поликлиника"###1###220019, РБ, г. Минск, ул.Сухаревская, д.19###013###69###82,8###20###13,8###PC_IIC
62133349###23-01-РУЦ/49054###30.06.2023###02.08.2023###191121993###Учреждение здравоохранения "10-я городская поликлиника"###1###220019, РБ, г. Минск, ул.Сухаревская, д.19###013###69###82,8###20###13,8###PC_IIC
62134667###23-01-РУЦ/49076###30.06.2023###24.08.2023###191121993###Учреждение здравоохранения "10-я городская поликлиника"###1###220019, РБ, г. Минск, ул.Сухаревская, д.19###013###69###82,8###20###13,8###PC_IIC
62134775###23-01-РУЦ/49079###30.06.2023###02.08.2023###191121993###Учреждение здравоохранения "10-я городская поликлиника"###1###220019, РБ, г. Минск, ул.Сухаревская, д.19###013###69###82,8###20###13,8###PC_IIC
62143118###23-01-РУЦ/49182###04.07.2023###18.08.2023###100124836###Учреждение "Минское городское управление Министерства по чрезвычайным ситуациям Республики Беларусь"###1###220037, РБ, г. Минск, ул.Козлова, д.26, корп.8###011###102,8###123,36###20###20,56###PC_IIC
62143128###23-01-РУЦ/49183###04.07.2023###09.08.2023###191121993###Учреждение здравоохранения "10-я городская поликлиника"###1###220019, РБ, г. Минск, ул.Сухаревская, д.19###013###69###82,8###20###13,8###PC_IIC
62143133###23-01-РУЦ/49184###04.07.2023###04.08.2023###191121993###Учреждение здравоохранения "10-я городская поликлиника"###1###220019, РБ, г. Минск, ул.Сухаревская, д.19###013###69###82,8###20###13,8###PC_IIC
62143143###23-01-РУЦ/49185###04.07.2023###21.08.2023###191121993###Учреждение здравоохранения "10-я городская поликлиника"###1###220019, РБ, г. Минск, ул.Сухаревская, д.19###013###69###82,8###20###13,8###PC_IIC
62143148###23-01-РУЦ/49186###04.07.2023###09.08.2023###100422260###Учреждение здравоохранения "10-я городская клиническая больница"###1###220096, РБ, г. Минск, ул.Уборевича, д.73###011###102,8###123,36###20###20,56###PC_IIC
62143153###23-01-РУЦ/49187###04.07.2023###10.08.2023###191121993###Учреждение здравоохранения "10-я городская поликлиника"###1###220019, РБ, г. Минск, ул.Сухаревская, д.19###013###69###82,8###20###13,8###PC_IIC
62143170###23-01-РУЦ/49190###04.07.2023###01.08.2023###191121993###Учреждение здравоохранения "10-я городская поликлиника"###1###220019, РБ, г. Минск, ул.Сухаревская, д.19###013###69###82,8###20###13,8###PC_IIC
62143180###23-01-РУЦ/49192###04.07.2023###10.08.2023###191121993###Учреждение здравоохранения "10-я городская поликлиника"###1###220019, РБ, г. Минск, ул.Сухаревская, д.19###013###69###82,8###20###13,8###PC_IIC
62143202###23-01-РУЦ/49195###04.07.2023###03.08.2023###191121993###Учреждение здравоохранения "10-я городская поликлиника"###1###220019, РБ, г. Минск, ул.Сухаревская, д.19###013###69###82,8###20###13,8###PC_IIC
62143207###23-01-РУЦ/49196###04.07.2023###11.08.2023###191121993###Учреждение здравоохранения "10-я городская поликлиника"###1###220019, РБ, г. Минск, ул.Сухаревская, д.19###013###69###82,8###20###13,8###PC_IIC
62143217###23-01-РУЦ/49197###04.07.2023###03.08.2023###191121993###Учреждение здравоохранения "10-я городская поликлиника"###1###220019, РБ, г. Минск, ул.Сухаревская, д.19###013###69###82,8###20###13,8###PC_IIC
62143653###23-01-РУЦ/49226###04.07.2023###08.08.2023###691446494###Государственное учреждение "Любанский районный центр по обеспечению деятельности бюджетных организаций"###1###223812, РБ, Минская обл., г. Любань, ул.Первомайская, д.35###011###102,8###123,36###20###20,56###PC_IIC
62144335###23-P01-100/1936###04.07.2023###01.08.2023###200289113###Комитет по архитектуре и строительству Брестского областного исполнительного комитета###1###224005, Республика Беларусь, г.Брест, ул.Ленина, д.11###121###64,05###76,86###20###12,81###
62150449###23-01-РУЦ/49352###04.07.2023###15.08.2023###600016009###Любанский районный исполнительный комитет###1###223812, РБ, Минская обл., г. Любань, ул.Первомайская, д.24а###013###69###82,8###20###13,8###PC_IIC
62155431###23-05-РУЦ/7685###04.07.2023###16.08.2023###300170051###Учреждение здравоохранения "Миорская центральная районная больница"###1###211287, РБ, Витебская обл., г. Миоры, ул.Коммунистическая, д.82###013###69###82,8###20###13,8###PC_IIC
62157770###22-01-РУЦ/8873-ДС1###04.07.2023###01.08.2023###600072841###Краснослободский сельский исполнительный комитет###1###223723, РБ, Минская обл., Солигорский р-н, гп Красная Слобода, ул.Советская, д.14а###139###66,55###79,86###20###13,31###PC_IIC
62158582###23-05-РУЦ/7701###04.07.2023###10.08.2023###300006909###Учреждение здравоохранения "Ушачская центральная районная больница"###1###211524, РБ, Витебская обл., гп Ушачи, ул.Советская, д.74###013###69###82,8###20###13,8###PC_IIC
62160181###23-05-РУЦ/7707###04.07.2023###17.08.2023###390095723###Научно-исследовательское учреждение культуры "Браславское районное объединение музеев"###1###211969, РБ, Витебская обл., г. Браслав, ул.Энгельса, д.39###016###84,25###101,1###20###16,85###PC_IIC
62161811###23-04-РУЦ/13543###04.07.2023###04.08.2023###290481683###Государственное учреждение образования "Средняя школа №3 города Ивацевичи"###1###225295, РБ, Брестская обл., г. Ивацевичи, ул.Северная, д.2###124###79,2###95,04###20###15,84###PC_IIC
62162711###23-01-РУЦ/49540###04.07.2023###02.08.2023###190492075###Учреждение здравоохранения "2-я центральная районная поликлиника Фрунзенского района г.Минска"###1###220018, РБ, г. Минск, ул.Якубовского, д.33###013###69###82,8###20###13,8###PC_IIC
62162938###23-Р04-800/933###05.07.2023###01.08.2023###590003173###Учреждение здравоохранения "Гродненский областной клинический кардиологический центр"###1###230030, Республика Беларусь, г.Гродно, ул.Болдина, д.9###011###102,8###123,36###20###20,56###
62166097###23-06-РУЦ/7480###05.07.2023###17.08.2023###401167867###Мозырский районный Совет депутатов###1###247760, РБ, Гомельская обл., г. Мозырь, пл.Ленина, д.16###143###14,45###17,34###20###2,89###PC_IIC
62166414###23-06-РУЦ/7482###05.07.2023###11.08.2023###400036117###Мозырский районный исполнительный комитет###1###247760, РБ, Гомельская обл., г. Мозырь, пл.Ленина, д.16###011###102,8###123,36###20###20,56###PC_IIC
62169681###23-Р07-800/4209###05.07.2023###09.08.2023###500053039###Войсковая часть 2044###1###231000, Республика Беларусь, Гродненская обл., г.Сморгонь, Войсковая часть 2044###011###102,8###123,36###20###20,56###
62183992###23-05-РУЦ/7778###05.07.2023###16.08.2023###300032712###Сектор культуры Шарковщинского районного исполнительного комитета###1###211910, РБ, Витебская обл., гп Шарковщина, ул.Комсомольская, д.15###016###84,25###101,1###20###16,85###PC_IIC
62185942###21-P02-100/4019-ДС2###05.07.2023###25.08.2023###300008503###Чашникский районный исполнительный комитет###1###211149, Республика Беларусь, Витебская обл., г.Чашники, ул.Советская, д.44###133###27,2###32,64###20###5,44###
62189059###23-P03-100/2851###05.07.2023###07.08.2023###401167719###Гомельский областной Совет депутатов###1###246050, Республика Беларусь, Гомельская обл., г.Гомель, пр-т Ленина, д.2###064###97,3###116,76###20###19,46###
62189542###23-03-РУЦ/6385###06.07.2023###01.08.2023###500044138###Управление внутренних дел Гродненского областного исполнительного комитета###1###230023, РБ, г. Гродно, ул.Академическая, д.3###013###69###82,8###20###13,8###PC_IIC
62191606###23-01-РУЦ/50080###06.07.2023###02.08.2023###190501223###Учреждение здравоохранения "13-я городская детская клиническая поликлиника"###1###220024, РБ, г. Минск, ул.Кижеватова, д.60Д###121###64,05###76,86###20###12,81###PC_IIC
62192615###23-01-РУЦ/50104###06.07.2023###02.08.2023###190501223###Учреждение здравоохранения "13-я городская детская клиническая поликлиника"###1###220024, РБ, г. Минск, ул.Кижеватова, д.60Д###121###64,05###76,86###20###12,81###PC_IIC
